RCD,Symbol,HGNC_ID,ENSG_stable,Dependence,Evidence,Test_organism,Pathway,Confidence,Experiments,Caution,UniProtAC,PMID,Remark,Last_update,Data_source,Gene_type,Category
Ferroptosis,RPL8,HGNC:10368,ENSG00000161016,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,RPL8 :+: Ferroptosis,Validated,1,_NA_,P62917,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,IREB2,HGNC:6115,ENSG00000136381,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,IREB2 :+: Ferroptosis,Validated,6,_NA_,P48200,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,ATP5MC3,HGNC:843,ENSG00000154518,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ATP5MC3 :+: Ferroptosis,Validated,1,_NA_,P48201,22632970,ATP5G3 in article,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,CS,HGNC:2422,ENSG00000062485,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,CS :+: Ferroptosis,Validated,1,_NA_,O75390,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,EMC2,HGNC:28963,ENSG00000104412,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,EMC2 :+: Ferroptosis,Validated,1,_NA_,Q15006,22632970,TTC35 in article,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,ACSF2,HGNC:26101,ENSG00000167107,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ACSF2 :+: Ferroptosis,Validated,3,_NA_,Q96CM8,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,NOX1,HGNC:7889,ENSG00000007952,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX1 :+: Ferroptosis,Deduced,2,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9Y5S8,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,CYBB,HGNC:2578,ENSG00000165168,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,CYBB :+: Ferroptosis,Deduced,2,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,P04839,22632970,NOX2 in article,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,NOX3,HGNC:7890,ENSG00000074771,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX3 :+: Ferroptosis,Deduced,1,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9HBY0,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,NOX4,HGNC:7891,ENSG00000086991,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX4 :+: Ferroptosis,Deduced,8,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NPH5,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,NOX5,HGNC:14874,ENSG00000255346,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX5 :+: Ferroptosis,Deduced,1,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q96PH1,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,DUOX1,HGNC:3062,ENSG00000137857,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,DUOX1 :+: Ferroptosis,Deduced,2,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NRD9,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,DUOX2,HGNC:13273,ENSG00000140279,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,DUOX2 :+: Ferroptosis,Deduced,1,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NRD8,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
Ferroptosis,G6PD,HGNC:4057,ENSG00000160211,_NA_,Required in erastin-induced ferroptosis.,Human,G6PD :+: Ferroptosis,Validated,1,_NA_,P11413,22632970,_NA_,2020-12-31,FerrDb team,gene with protein product,driver
