drug,phase3_histology_outcome,trial,year
Resmetirom,success,MAESTRO-NASH,2024
Semaglutide,success,ESSENCE,2025
Lanifibranor,success,NATiV3,2025
Pioglitazone,success,PIVENS,2010
Obeticholic acid,mixed,REGENERATE,2019
Selonsertib,failure,STELLAR-3/4,2020
Simtuzumab,failure,GALE-041,2018
Cenicriviroc,failure,AURORA,2021
Emricasan,failure,ENCORE-NF,2020
Elafibranor,failure,RESOLVE-IT,2020
Aldafermin,failure,ALDURNA,2024
Tropifexor,failure,FOCUS-NASH,2023
Belapectin,failure,NATIVE,2023
Gracillin,failure,PREVAIL,2022
Aramchol,failure,ARMOR,2022
Accelofenac,failure,ASSIST-NAFLD,2021
Cenicriviroc,failure,CENTAUR,2021
Edetabilant,failure,HARMONY,2020
Tropifexor,failure,NAFLD-HFC,2022
BMS-986036,failure,NEJM-2019,2019
Aramchol,mixed,ARREST-NASH,2023
Denifanstat,mixed,FASCINATE-2,2024
Pegbelfermin,mixed,FAIR-NASH,2023
Vestronidazole alfa,failure,,2018
Azeliragon,failure,STEADFAST,2020
